Source,Type,Target,Weight
Атла,Undirected,Катонтли,1
Безумный,Undirected,Женщины,3
Безумный,Undirected,Катонтли,2
Безумный,Undirected,Ликторы консула,1
Безумный,Undirected,Теопикски,2
Безумный,Undirected,Тлакатль,1
Безумный,Undirected,Тлацотли,2
Безумный,Undirected,Толпа,1
Безумный,Undirected,Ученики мудреца,2
Дух последней колдуньи,Undirected,Теотль,1
Женщины,Undirected,Катонтли,2
Женщины,Undirected,Ликторы консула,1
Женщины,Undirected,Теопикски,2
Женщины,Undirected,Тлакатль,1
Женщины,Undirected,Тлацотли,2
Женщины,Undirected,Ученики мудреца,2
Интла,Undirected,Интланель,3
Интла,Undirected,Канцлер Ордена Освободителей,1
Интла,Undirected,Канцлер Ордена Освободителей,1
Интла,Undirected,Матсеватли,1
Интла,Undirected,Окнома,1
Интла,Undirected,Теотль,3
Интла,Undirected,Члены Ордена Освободителей,1
Интланель,Undirected,Канцлер Ордена Освободителей,1
Интланель,Undirected,Канцлер Ордена Освободителей,1
Интланель,Undirected,Матсеватли,1
Интланель,Undirected,Окнома,1
Интланель,Undirected,Теотль,4
Интланель,Undirected,Члены Ордена Освободителей,1
Канцлер Ордена Освободителей,Undirected,Матсеватли,1
Канцлер Ордена Освободителей,Undirected,Окнома,1
Канцлер Ордена Освободителей,Undirected,Теотль,1
Канцлер Ордена Освободителей,Undirected,Члены Ордена Освободителей,1
Канцлер Ордена Освободителей,Undirected,Теотль,1
Катонтли,Undirected,Ликторы консула,1
Катонтли,Undirected,Неватль,1
Катонтли,Undirected,Теопикски,4
Катонтли,Undirected,Теотль,1
Катонтли,Undirected,Тлакатль,1
Катонтли,Undirected,Тлацотли,4
Катонтли,Undirected,Толпа,1
Катонтли,Undirected,Ученики мудреца,3
Куалли,Undirected,Ликторы консула,1
Куалли,Undirected,Тлакатль,2
Куалли,Undirected,Участники празднества,1
Ликторы консула,Undirected,Теопикски,1
Ликторы консула,Undirected,Тлакатль,2
Ликторы консула,Undirected,Тлацотли,1
Ликторы консула,Undirected,Участники празднества,1
Ликторы консула,Undirected,Ученики мудреца,1
Матсеватли,Undirected,Окнома,1
Матсеватли,Undirected,Теотль,1
Матсеватли,Undirected,Члены Ордена Освободителей,1
Неватль,Undirected,Теопикски,4
Неватль,Undirected,Тлакатль,2
Неватль,Undirected,Тлан,1
Неватль,Undirected,Тлацотли,1
Неватль,Undirected,Толпа,2
Неватль,Undirected,Ученики мудреца,2
Окнома,Undirected,Теотль,1
Окнома,Undirected,Члены Ордена Освободителей,1
Теопикски,Undirected,Тлакатль,1
Теопикски,Undirected,Тлацотли,4
Теопикски,Undirected,Толпа,1
Теопикски,Undirected,Ученики мудреца,5
Теотль,Undirected,Тлацотли,1
Теотль,Undirected,Толпа,1
Теотль,Undirected,Члены Ордена Освободителей,1
Тлакатль,Undirected,Тлацотли,1
Тлакатль,Undirected,Толпа,1
Тлакатль,Undirected,Участники празднества,2
Тлакатль,Undirected,Ученики мудреца,1
Тлацотли,Undirected,Толпа,3
Тлацотли,Undirected,Ученики мудреца,3
